"","p.value","HR","Low 95%CI","High 95%CI"
"METAP1",0.0518036058690086,1.32879736760156,0.997780356058112,1.76963039352722
"MGST1",0.312387579434373,1.07419100205551,0.934930760177206,1.23419440031934
"MGST2",0.548018983610818,1.08410052198699,0.833010681536963,1.41087499574914
"MGST3",0.0135933739559215,1.40176064927093,1.07197541240126,1.83300185350608
"MPO",0.906271696475287,0.98151903365798,0.719520831741712,1.33891830636909
"NNMT",0.471295111336413,1.04335087435259,0.929577731383694,1.17104897230265
"NOS1",0.0616857490997765,1.17576259174801,0.992109727319086,1.39341207336976
"NOS3",0.131766272348836,0.903684621516564,0.792173313226485,1.03089296436833
"NR1I2",0.423762496054221,1.08343576835648,0.890281728383821,1.31849618691504
"NR1I3",0.99744742486772,0.999271640987778,0.639469277567376,1.5615196030699
"PDE3A",0.418569312442889,1.04388054923247,0.940719716320536,1.15835416454116
"PDE3B",0.218947775336576,0.906459686683167,0.775082175659781,1.06010586926774
"PLGLB1",0.28270310674475,0.500657359557804,0.141697590057419,1.76896298361758
"PNMT",0.37646206209914,0.929585365364721,0.790708153163167,1.09285448498714
"PON1",0.790342001669216,0.980953662760498,0.851297411386261,1.13035711798567
"PON2",0.2745225571885,1.0877582060321,0.935416589732515,1.26491012429929
"PON3",0.283353276507516,0.948610874052281,0.861449063650655,1.04459175630976
"POR",0.629201914303252,0.95134594754546,0.776982103388548,1.16483907153595
"PPARA",0.305505141380768,0.879232643583004,0.687369027264492,1.12465067653462
"PPARD",0.0374178585248165,1.25344466088466,1.01324348511823,1.55058832450024
"PPARG",0.040191799809406,1.13140930397979,1.00553979029575,1.27303466803191
"RXRA",0.815986578435324,0.974007349937589,0.780242195441576,1.21589209514045
"SERPINA7",0.869114715334508,0.948577510682591,0.506258434574769,1.77735170877413
"SLC10A1",0.393409795813909,0.798445530929472,0.476156565933032,1.33887740183112
"SLC10A2",0.356316297216961,1.07936242589348,0.917682017178141,1.26952825120522
"SLC13A1",0.229191895183304,0.0526463746109275,0.000433729057316544,6.39025841805962
"SLC13A2",0.6882704828885,0.979574004883952,0.885629966724954,1.08348324593492
"SLC13A3",0.27137348060332,0.92092711593533,0.795200876263512,1.06653146164784
"SLC15A1",0.00564380773584978,1.16016249249641,1.0443134616667,1.28886302666953
"SLC16A1",6.35488952851319e-05,1.21572246845433,1.10473554231012,1.33785966296883
"SLC19A1",0.586483998326084,1.06292811801541,0.853105662341806,1.32435668164057
"SLC22A10",0.0051589527187388,0.0394122606746208,0.00408803816938048,0.379968637063793
"SLC22A11",0.907722741038421,0.974993709459596,0.635377456440411,1.49613859265864
"SLC22A12",0.0834761664884675,0.0104125266714527,5.92531862732952e-05,1.82978702923486
"SLC22A13",0.357713025884288,0.51900869474877,0.128294149219609,2.09962829063799
"SLC22A14",0.927041389088539,0.96757483089355,0.477826051824757,1.95929261245478
"SLC22A15",0.0984045225208369,0.859668149075116,0.718538076417103,1.02851797391073
"SLC22A16",0.758604100659825,1.06283182693907,0.720578236350423,1.56764586462656
"SLC22A17",0.0763553411309011,0.889659092759524,0.781751374977003,1.01246166833155
"SLC22A18",0.744393578769643,1.02628249074708,0.878085597635092,1.19949097633615
"SLC22A18AS",0.698041862560016,0.974926292566264,0.857547617785473,1.10837142594078
"SLC22A3",0.180939562799594,0.946648630418639,0.873585941481975,1.02582194483721
"SLC22A4",0.374280341339709,0.929040088752925,0.789804528818837,1.09282164765609
"SLC22A5",0.319650999668621,1.15314051335726,0.870978191138672,1.52671221515596
"SLC22A7",0.170851070894071,2.65909675479539,0.655938614126456,10.7796604729238
"SLC22A8",0.0780625268359089,0.000297384381461234,3.55219053222153e-08,2.48966009944777
"SLC22A9",0.954650223370492,1.034102682165,0.325556353015252,3.28474117416699
"SLC27A1",0.0293288116684668,0.805618772063701,0.663279578376036,0.978503827134977
"SLC28A1",0.906844962009989,0.974094902286531,0.627599777877002,1.51188848707108
"SLC28A2",0.913054971847761,1.0051697882404,0.916305235809072,1.10265254819714
"SLC28A3",0.60987599772218,0.966974211551429,0.849945079807602,1.10011711111637
"SLC29A1",0.155194449405986,0.881760124625851,0.741302517196737,1.04883080705074
"SLC29A2",0.967460492050046,1.00330551239224,0.85619725214303,1.17568930369388
"SLC2A4",0.105645344366507,0.743188564324916,0.518755322434451,1.06472014504125
"SLC2A5",0.548243833985809,1.04359339400381,0.907896802322572,1.19957154736342
"SLC5A6",0.0317002553841152,1.26028666079356,1.02047493970653,1.55645416224621
"SLC6A6",0.674259307750769,1.04390116262985,0.854373964799727,1.27547149402592
"SLC7A5",0.00371001702005783,1.18152946451163,1.05563464733693,1.32243847720505
"SLC7A7",0.985072526057797,0.998588331443941,0.861227077595067,1.15785799313297
"SLC7A8",0.0198251108028364,0.86889369185935,0.772001815778007,0.977946207279477
"SLCO1A2",0.411025784789801,1.09119267673795,0.886216244309536,1.34357891249695
"SLCO1C1",0.8106387759124,0.946636471089024,0.60444969673939,1.48253959465918
"SLCO2A1",0.371750908124497,0.947709714612078,0.842351838341242,1.0662453173234
"SLCO2B1",0.137039053891067,0.916516890896742,0.817026309688719,1.0281225969566
"SLCO3A1",0.508760999232107,0.948424383727951,0.810565996056851,1.10972927068934
"SLCO4A1",0.00124621309488502,1.19645795489155,1.07300378657896,1.33411611005339
"SLCO4C1",0.0212663395557751,0.884649890369589,0.7970319299905,0.981899719551077
"SLCO5A1",0.422296574376612,1.07662433419826,0.898974875832181,1.28937970142363
"SLCO6A1",0.428238120743359,0.864255542484478,0.6024098100514,1.2399161339212
"SOD1",0.00652631375201335,1.38941903442057,1.09626305849802,1.76096899210956
"SOD2",0.0541624196763914,1.17841466086006,0.997068937335506,1.39274333090838
"SOD3",0.0450713356581188,0.893255360251147,0.799886268830128,0.99752323512739
"SULF1",0.0784506243312888,1.09018357422966,0.990224013028274,1.20023369448043
"SULT1A2",0.0558410240305071,0.878200604186042,0.768742269974767,1.00324430087348
"SULT1A3",0.848544397293113,1.1121251468757,0.373666464111558,3.30996345966985
"SULT1B1",0.16418571988446,1.12987302596501,0.951297150414244,1.34197085973338
"SULT1C2",0.0841528523712622,0.908538328655272,0.814834615961967,1.01301770747825
"SULT1E1",0.805554098911439,1.02362562900421,0.849958168554583,1.2327776437941
"SULT2A1",0.692023082770384,1.14355264077976,0.588848729478533,2.22079555710759
"SULT2B1",0.00317690131927654,1.17853621143771,1.05668218173123,1.31444215269566
"SULT4A1",0.217631959108992,0.913268647551575,0.7906035494153,1.05496569452227
"TAP1",0.0209704408271819,1.17227960638761,1.02428946269588,1.34165148193105
"TAP2",0.00509331348166521,1.28188977933287,1.0774211295437,1.52516166733616
"UGT1A10",0.721632245291594,1.02762366488947,0.884569883135839,1.19381228863147
"UGT1A3",0.299411071576886,1.48466968394618,0.703820233823878,3.13182822047204
"UGT1A4",0.407457854583809,0.491168335870705,0.091342135734845,2.64112867759416
"UGT1A5",0.521846775680272,0.496820597413686,0.0584192589514548,4.22515982648125
"UGT1A6",0.625302096887188,1.02043055321099,0.94087421086548,1.10671384325503
"UGT1A7",0.696901670943103,1.0677542283598,0.767725608366387,1.48503460058627
"UGT1A8",0.227378832096374,1.16142254907598,0.91089678682803,1.48085091198902
"UGT1A9",0.241452121458347,0.271433082376986,0.0306231490084997,2.40588968130686
"UGT2A1",0.803361048935641,1.07964156354241,0.590641797649864,1.97349038006837
"UGT2B10",0.0456570828047924,2.07692057142892,1.01421119888663,4.2531566056064
"UGT2B11",0.0033484981543188,1.2229137650853,1.06907876969057,1.39888483359178
"UGT2B28",0.00104541201185523,1.56877327516899,1.19848417121847,2.0534685797163
"UGT2B4",0.589520350933408,0.964158760366951,0.84443210076893,1.10086070193903
"UGT8",0.736314489121556,1.01680662108264,0.92280059688481,1.12038907231716
"XDH",0.405320468195579,1.04450472677497,0.942694685512564,1.15731014613927
