"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EYA4",-1.08800823925946,0.847775012567711,-9.39431084261512,1.36523747843319e-19,1.11174223556921e-18,33.3068981587394
"GCNT4",-1.0600689581541,1.45155703383576,-9.38865351652189,1.43026648854242e-19,1.16323967164482e-18,33.2608988589308
"GNG7",-1.10334140436406,2.64743763479082,-9.38748357126444,1.44409276185472e-19,1.17399504520436e-18,33.2513886514909
"FMO3",-1.34565517678298,3.2077225202339,-9.38367435473981,1.49003360401307e-19,1.21083855746112e-18,33.2204304457572
"BTG2",-1.45088917050191,7.21365085948955,-9.38154290772588,1.51636856575916e-19,1.23172578667226e-18,33.2031117968242
"SNTN",-1.69676356676603,1.51360010305744,-9.3715654968687,1.64590654076932e-19,1.3358350089315e-18,33.1220806504821
"EMP3",-1.16153787654118,6.0746300014083,-9.36998904174923,1.66735337668851e-19,1.35211612912915e-18,33.1092833127443
"CNTD2",1.74702836585499,1.96162742485681,9.35880654910501,1.82764173073596e-19,1.47779836959135e-18,33.01855145132
"TTC29",-1.26862035489871,0.825435804623796,-9.33479863583133,2.22515345539386e-19,1.79105108710468e-18,32.8240260433326
"SGCE",-1.34297989051992,4.85842957018666,-9.33140482498066,2.28785977385962e-19,1.84000532658079e-18,32.796557111875
"DOCK8",-1.14873180585435,3.4966241315584,-9.33048645752848,2.30512701821646e-19,1.85312828673848e-18,32.7891252626985
"SPINK1",3.97326596605667,5.23604744001222,9.32766230061147,2.35904018170289e-19,1.89568853167497e-18,32.7662742624784
"GJA1",-1.61550574021598,6.49127226648075,-9.32435021413253,2.42386118379883e-19,1.94617392620949e-18,32.7394817735971
"DEPP1",-1.37937474024138,6.72107017760295,-9.32125148008452,2.48610296246686e-19,1.99450703730939e-18,32.7144214924975
"APOC1",-1.67497543388289,7.59829033916892,-9.31236005780059,2.67362387800283e-19,2.14142449661968e-18,32.642548220353
"PRR36",1.57319861002746,3.53032295334121,9.30972100003577,2.73193123636158e-19,2.18543293284495e-18,32.6212252690057
"MAPK10",-1.07232407039666,1.49498677049072,-9.3090001623787,2.74807527890106e-19,2.19744617320244e-18,32.6154018475712
"DYNLRB2",-1.52410677232874,1.48833839091668,-9.30737679915777,2.784779373519e-19,2.22588328367791e-18,32.6022884202841
"SAMD5",-1.28746666107914,1.95986483317061,-9.30477655362888,2.84458511360528e-19,2.27182405694692e-18,32.5812873059767
"LIMK1",1.0130467061926,5.23206825820297,9.29150731463187,3.17016649563629e-19,2.52667581382896e-18,32.4741844086814
"SCEL",-2.04567519669735,4.93012324304401,-9.28085231744173,3.4581057089687e-19,2.75279329151088e-18,32.3882639389974
"SELENBP1",-1.80864210299519,7.04391820541418,-9.28054001584337,3.4669249780246e-19,2.75868779463132e-18,32.3857466770456
"S100A4",-1.61335091505691,8.66114519743198,-9.2756434301281,3.60815155848166e-19,2.86989314213164e-18,32.3462866225979
"EGR3",-1.41456362262006,2.49500190213685,-9.27412083962233,3.65321641615108e-19,2.90100487639228e-18,32.3340196719987
"CDH3",2.16923510598585,4.94901889756043,9.27393108018299,3.65887174704594e-19,2.90431321459654e-18,32.3324909542259
"DNAH9",-1.31718793853081,0.778916975575378,-9.27284494196322,3.69140878946586e-19,2.92656689516068e-18,32.3237413787072
"LAPTM4B",1.22567703153108,7.97408750274272,9.26978846312983,3.78451663886503e-19,2.99794589796038e-18,32.2991234387573
