"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CDC25C",-1.03711138803078,2.22770324467757,-13.9647447172269,1.20004336335114e-37,2.16707830698493e-35,74.7430038546566
"SPARCL1",1.15082563482614,6.8805304086854,13.9457110811756,1.45411290276618e-37,2.57814217660444e-35,74.5528914979212
"NDRG2",1.12426884873556,3.82788725849895,13.9344662355809,1.62872444429497e-37,2.86171286820583e-35,74.4406284175103
"SFTPC",4.19145606764053,6.46376409598332,13.9154563982789,1.97272646361961e-37,3.43518609106903e-35,74.2509332764592
"CKAP2L",-1.15798500078441,2.57652750525919,-13.9127999460704,2.0262457152743e-37,3.49715665353934e-35,74.2244341108891
"PBK",-1.40575783884013,3.38019521487582,-13.8808920047222,2.79417509758343e-37,4.73867799375387e-35,73.9063128850872
"CAVIN2",1.42923903205034,4.79136612935581,13.8689027181994,3.15251732401004e-37,5.25500387779211e-35,73.7868629101842
"CDC6",-1.27845534665536,3.46551043225465,-13.8675180033341,3.19674986285158e-37,5.28357733688088e-35,73.773069836725
"BUB1",-1.22103894054135,3.42078344846447,-13.8661605686714,3.24071142628995e-37,5.31122646612882e-35,73.7595490879964
"ABI3BP",1.24285781174854,2.75084023242133,13.8614763875795,3.39709205982557e-37,5.47549474733704e-35,73.7128967032412
"AQP4",2.39593406029787,4.19881667381531,13.8499467016751,3.81480265349485e-37,6.09836853697623e-35,73.5980956745811
"TBX4",1.20550962388595,2.73116629207264,13.8393661314434,4.24301739789243e-37,6.72776978138993e-35,73.4927820540039
"CDK1",-1.25303364544941,4.43834976233441,-13.8232607037524,4.98854299556503e-37,7.84609306794393e-35,73.3325450596952
"NUSAP1",-1.14422978507291,4.77892784657178,-13.8190477807825,5.20423504949888e-37,8.11985569363014e-35,73.2906432354952
"SPATA18",1.43936189901641,2.45335724579035,13.8160699961035,5.36227469781958e-37,8.30003519298216e-35,73.2610295347098
"NDC80",-1.21905375822007,3.13975175608051,-13.7876588604852,7.13257012377114e-37,1.09532689073944e-34,72.9786266506572
"FAM107A",1.32427639873476,2.35856266598925,13.7851554908624,7.31404356366108e-37,1.11442024704752e-34,72.9537558690436
"CLIC5",1.57045974782227,2.95002826300082,13.77417856441,8.16568564710314e-37,1.23453773004227e-34,72.8447246848331
"RACGAP1",-1.0361585823876,4.43643101589909,-13.7637826824534,9.06317317642191e-37,1.35968512661351e-34,72.7415005460112
"DUOXA1",1.52679974255389,3.0275031586813,13.7578922482493,9.61466441053939e-37,1.43141068701336e-34,72.6830279079226
"MELK",-1.3771347362304,3.62500770135058,-13.7478813259945,1.06297323779141e-36,1.57054295883681e-34,72.5836780094101
"KIF11",-1.14323948883129,3.8757189237453,-13.7354949425957,1.2034667451243e-36,1.7647527767037e-34,72.4607984221323
"RRM2",-1.37471863604433,4.66786044998496,-13.6668940752123,2.39127807359467e-36,3.48038031860574e-34,71.7811416562761
"VIPR1",1.15983241175475,2.56676625004166,13.6435149440428,3.02067120713606e-36,4.36386300390922e-34,71.5498657834843
"ACADL",1.11667091437261,1.36132007968588,13.6281743514898,3.52082717362682e-36,5.0121673260762e-34,71.3982078666851
"SAPCD2",-1.21380098908937,3.5060093942921,-13.620020147093,3.8194489062256e-36,5.39787768247232e-34,71.3176264854242
"KIF14",-1.08812421549714,2.12216488602047,-13.6129987937443,4.09672825309003e-36,5.748092886332e-34,71.2482577113338
"ARHGAP11A",-1.07084363127504,2.9924811058734,-13.5874193084446,5.28762470448417e-36,7.36603890082534e-34,70.9956781460618
"SLC22A3",1.78418690482953,4.23132317616048,13.5693640995521,6.33036350466241e-36,8.75610492421497e-34,70.8175260643177
"AGER",2.21434050251799,5.175533322755,13.5517368014088,7.54568884889586e-36,1.03636316633814e-33,70.6437007602373
"KIFC1",-1.28439035065125,4.2483866308308,-13.5414186146205,8.36224943398572e-36,1.13256215771544e-33,70.5419996997701
"CPAMD8",1.52672405488885,2.69766377058679,13.5137859742515,1.10091387171e-35,1.48076711999725e-33,70.2698142812313
"TNS1",1.10189605643646,5.38156175736389,13.4727053611555,1.65615822016011e-35,2.19728256923691e-33,69.865638391174
"ADRB2",1.06464141505923,2.23935895377609,13.4421509189881,2.24309795567003e-35,2.95588779928599e-33,69.5653948719551
"EMCN",1.02156515994938,2.75973355999438,13.4060287886867,3.20940828189845e-35,4.17287264812436e-33,69.2108494867558
"RASGRF1",1.43000864239879,1.91874236034343,13.3686285046923,4.64840223005918e-35,5.96432820347659e-33,68.8442285143136
"A2M",1.23528401207834,8.67446601818139,13.3352451458303,6.46737508708033e-35,8.24400106688416e-33,68.5173899932377
"CD1C",1.51984368887649,3.04089655183604,13.3304237722911,6.78310128972315e-35,8.53489190022391e-33,68.4702182995624
"ACSS1",1.11040462181215,3.98232990125032,13.3180027337655,7.66904370039148e-35,9.58777944158558e-33,68.3487295253343
"PKMYT1",-1.08509227133661,2.79033304067793,-13.3089697393599,8.38489515450336e-35,1.04159624330114e-32,68.2604124071533
